A,B,C,D,E,F,G,H,P_A_most_likely,P_A_Noise,Label
0.2699846770439447,1.0484634117381502,2.5358080238942393,2.0156180900605936,2.569153303242833,2.2421602131938636,0.8994401450511476,2.546627788532376,0.0,0.7243493753297988,4.657947163598887
2.838774004682669,2.3997203574531287,1.7647702571823503,1.506053479497191,2.402621068980522,-0.36406327085412027,2.1202023714078106,2.738909903743854,2.0,0.7471990612624425,14.615294198815965
1.5835262185900307,3.821395484781793,0.5498750991000183,2.1806053283855613,2.166458568708295,0.9663710522731896,2.7760620916161587,2.8663868059522684,0.0,0.7047249015484631,11.210091005838928
2.0829767078690358,0.654784428493604,1.291208542477095,3.672522261377622,-1.0626142336059887,1.8743192958099013,1.3886782133264126,1.9185137021727698,2.0,0.7517354955549161,12.494357848672532
1.1878929972711492,3.1997703265401887,0.5390686879585165,1.0129617689532933,1.8787481308259213,2.8881143379331657,2.491188259378776,2.5802379231776316,0.0,0.6972046215052721,12.54214377895606
1.743945566054108,1.299265832118165,3.408306861219746,3.73705868769075,1.7572065030447972,2.474943175902999,2.5874767815712345,2.2133340709539886,2.0,0.6119218263665276,13.439089258332324
1.6179865816445398,0.6496203625531192,1.703696063881626,-0.07780393267516139,0.778613652477145,1.2779071559382562,1.410554860926379,2.845447464642177,0.0,0.7205164659041061,5.918019782149325
1.790916329227105,1.5678285715434865,1.1486561592613118,2.535653246901285,2.4335059978153866,2.1684008856609975,1.3019318989355058,2.039730032031472,2.0,0.6804023882944982,11.47142236094842
1.2131085204375416,2.4881436032636457,2.014707173532758,1.544586097304955,3.8685386783942572,1.5195180378781872,1.6638112221927823,2.4922263247861234,1.0,0.7605888617569069,11.137219698094205
2.062229671840608,3.3415724861663847,2.001439708117474,1.8143454653983875,1.3320956837542997,1.8786764745704956,2.785632810347538,3.3765981058586694,2.0,0.6687355970009767,11.738862842068169
2.9631199744264913,1.6459342142729898,3.1312711488778815,3.2060025072493903,0.7535147033724043,2.3753525904746886,2.0325764723510145,2.252204654752298,0.0,0.7448671237578628,6.323839696081719
2.2321772305836753,2.373717428112029,0.9767385944379496,1.9274307196727458,2.7762517419055004,3.0689220339664685,2.366239903076516,0.8079748070300257,1.0,0.7593121410433781,10.855930795236496
3.0290412287488846,1.7675158826335564,2.863413462748289,1.4347949725571274,2.1809933354429742,1.7482706570713669,1.743738780497642,1.9920139095610545,2.0,0.7592473009012206,11.779489027258856
1.7359582689250577,2.201492234372093,0.5289395153963992,2.3236026604303976,4.538548228793831,3.3214147347958933,1.8838523069984396,1.7068705257839338,2.0,0.6230648993748261,12.135855291017396
3.1508050703163804,3.0444689520485992,3.5671778133642755,1.5906518209381444,0.8755361756563249,1.4862668258698848,0.5242516745005863,2.421781998959285,2.0,0.7476864497057214,12.61008306865871
2.6193885618938575,3.4207693357381768,2.177170065948735,2.3636243419071112,2.242908677424691,0.7425001740696677,2.512277086483898,2.0834480905977206,1.0,0.6522096179539739,11.430510337552935
3.0300493843310146,0.009861458401868584,2.1787851486953196,2.480023985523604,1.8875598698035714,1.333551293758386,0.7127170985138978,3.3088399724306354,2.0,0.651712392837052,7.255237855143127
1.558388983828608,1.485107852693331,1.6244288183850069,3.4548571329896065,1.6021135927518249,2.306843144535502,2.13552881365349,2.0887741539241973,2.0,0.6699861836813977,12.313930019806474
1.2026070659981878,1.7214838108158643,0.148946048941621,1.5924066641073291,3.104957970756497,3.9547165446849455,3.0291473939827,0.6428622261281405,2.0,0.7198471635068183,11.248419245419035
2.768013632287527,3.559649742764929,2.0601557775688315,1.1014993335115713,2.14690285088329,1.0949931655758207,2.6768189547672208,2.3282970291163045,1.0,0.7068063367871453,13.372424875420531
1.8615998511673524,2.6272729425372665,1.9267781715086665,1.804356584779103,2.7116990746918095,2.947106956735002,3.28334727575676,0.6539439286280762,2.0,0.715431123466808,11.259923458231466
0.3211556853856308,0.14343922074120785,1.036453500721364,3.862988689944733,1.6370517579777788,1.587110281910733,2.760637055167152,3.5165665671451767,1.0,0.6617476596463023,10.335735088911063
3.250671463498566,0.6475361460741562,3.656368895207173,3.7816154948240825,2.572887393887373,4.163353876376229,1.7260183482743934,1.8817302450314268,0.0,0.7101687142196325,18.98957829133689
2.8010268090962294,0.9369696804576844,2.1792002307707268,2.787067533123267,1.9444364558872622,1.924231951875555,1.2634674245293849,1.4113998117810613,0.0,0.7190874804306162,6.960241496864672
1.6722515336465964,4.2019483180759245,2.664037450157039,2.356711349871547,2.244844404530369,2.865493147604413,1.9728880541864473,0.8506180772357668,2.0,0.7368059659993469,12.303224962748889
2.099580168454196,3.50884441555026,1.7634736205560337,2.373777058035148,1.2891840682230398,1.5798231451707159,1.877947097020102,1.4348378671497155,1.0,0.715697419037844,8.494179133291409
2.6237361595529953,2.3436047386586054,1.3391295005064536,3.7160237927558892,-0.7255447469721878,3.894436124844355,2.609948261497718,1.4666594035066955,2.0,0.6587284090603845,6.089534147767346
1.792446322366389,1.1142778883903603,1.8370168006697374,2.995514668487534,3.107664031785024,1.985625398277913,1.9375028035354052,0.2895365776683201,1.0,0.75407895179998,10.259606344824096
2.0676846002661033,0.9618411733628947,1.8899464096114231,2.0385122157857873,2.4178767333341606,2.4200018371763563,2.9140685749226165,2.0612383840352653,2.0,0.7797643272494736,14.504671148361147
2.303957107866637,0.8550269311190617,3.075135975581306,2.1973366134552563,2.382113605487919,3.02751571123719,2.129494128334212,2.210020308147916,1.0,0.7377026443037428,11.877615275877476
2.741046605226911,2.5953763643385077,0.6254974085201681,2.036974177030981,1.8113318203127586,0.4678622065148774,1.430555617805791,3.585527442403964,0.0,0.6529878440721744,6.322461065283742
0.1653975003684447,2.497482327948144,2.626958084619753,2.293938719822568,1.6486154839273468,2.215108997112869,1.2484749640849446,2.0336143750959867,0.0,0.7877568140438542,11.755813541903038
1.9951377859826114,2.8194127364842467,1.4339485273446386,0.9994416386179179,3.915768716184101,3.184287417808177,2.4637463667627855,1.415746320656789,0.0,0.7211203909901875,19.286311358911593
2.09830147022538,1.371569170135532,2.352103754741761,3.1190088032477954,1.5237453091801432,1.1767780615478163,2.8950162915514843,1.178196685870354,2.0,0.6895051609139093,12.997287345290367
0.5274112681697052,1.7035876043404876,0.6585300865938097,1.0949175207818338,1.4173625754548436,4.542644360979114,1.1416085938711462,1.0678001276557896,2.0,0.6693999408431895,9.272444127230267
-0.38943813909391656,1.5785968596509394,3.392393723508743,2.3845320917710104,1.1021729758704297,0.8490994142187884,0.053607207688520564,1.614000299732485,2.0,0.6007956295618897,6.924661474851427
1.1308277990335522,1.5128665430326094,1.0013180601441891,2.725246695089519,1.486958417836479,2.4592611384907492,2.0578593782582733,2.15129600546472,2.0,0.7660633944408826,7.968845620967933
0.4987423010922447,2.9083358447433163,1.6946005511454587,0.9380178996628807,0.8195726832448957,2.8641859820072053,1.4644430793108798,3.2732288245670538,2.0,0.620223391597073,13.22156570727022
3.276172793948187,2.174350675850827,2.863712271528218,1.7583378949764368,2.7489933582227835,1.9258434258474588,3.0734881081103635,1.3534270916244036,1.0,0.7469955849896256,12.330452810744179
1.3828379951611547,0.878526085209792,3.3644543255572428,1.0063186695025585,0.8841649002194125,1.6991414598450825,1.6506439891555384,1.793133782135082,2.0,0.6138663040491757,8.827171060978593
0.3556873358136232,1.7076078963233565,2.0686107055251175,3.193590029941434,2.7826095029042195,2.319723109042726,2.125851861346104,2.0250706451680975,1.0,0.7126501589721819,10.325598507500162
1.8924930765090737,3.3927190815295347,2.291625625315706,0.5557867496852804,2.2676146568630253,3.692131820854056,2.213564176933942,0.6742352272752148,2.0,0.6903015473760802,11.861763317168059
1.9973722054852077,1.2472803576500573,3.179806557080642,1.153708255078623,1.2016660675387587,3.5102961415504357,2.202375105253997,0.7087141990143164,0.0,0.619856550651459,4.214204263793821
3.9651135479045463,2.0151524422447658,2.2677393274450313,1.4281331198260574,1.9434606183441985,0.8473832528992331,1.6448316655458646,2.097681804429584,2.0,0.6563812797913129,10.423479228000797
-0.4185520138722336,0.24989380041607268,1.802562528734576,2.57008431198357,2.360621121521944,2.9609718246882966,1.5201977491164218,4.024345609722365,2.0,0.6400659378720303,12.963368891805818
2.577214753309013,1.6246291652555203,3.3327738348421114,2.0863327861746286,0.8044549507931245,1.4216543482998933,3.6184559451168328,3.6482441287035448,0.0,0.6753634360933751,5.856423079609369
1.1184287265509765,2.406914333295213,1.7728313422846222,4.06994140488752,1.6529387178239487,3.3404518250035546,3.21535836783885,2.176332938505726,1.0,0.6851495648415447,11.346155830425037
3.4243434426307156,2.1191083148497167,2.220021128303154,1.006458316523601,1.1987922249896996,1.726355663477811,1.5949928031048008,1.515252535526931,2.0,0.6899987278949137,12.413564731439548
0.6905740716178503,1.1271450378410028,3.4657209895327163,1.429225121446186,2.665081413495711,-0.2859800211483008,1.1795545227046094,1.8624026577581523,2.0,0.6023144944067375,11.142057791841772
2.764461739825326,3.0270651602848138,1.2386895400464715,1.981710415400158,2.770867469255851,-0.5675966684801095,3.3444044391295646,1.4540536165131352,2.0,0.6093033939579531,9.946863272575731
2.1843767893719837,2.7504941769073703,-0.04495644147879441,0.15905447747988744,1.09473199707613,4.078995659487658,0.9537658084393108,1.8488385662355091,2.0,0.7695687909158955,10.47436209076558
1.3572685259216506,4.064592865162414,1.2951670449788169,3.0752962231682615,1.8316528102364777,1.1291171659846237,0.771534794534255,2.931675040273763,2.0,0.6671968160145925,9.555137733997633
1.3807188584738292,2.452274912787752,0.8455832832110581,2.311271868398241,2.7049870073805744,2.1926054436360305,2.5154221753017283,2.3998434044002375,0.0,0.6528312197587766,4.5611272079631355
2.2816867525893163,1.7881774500098746,4.398483477392941,2.078911017308822,2.512901061385992,3.8522600022640288,1.646167374419289,0.9484532002731889,0.0,0.7429841639143399,14.373546698780217
3.2886556328372505,2.393651459714421,1.6846336314813888,2.263706631380834,1.8891027911421783,1.896037395486985,3.341074359279286,1.8682966003415282,2.0,0.7343800052905158,15.317310613608583
1.6543610463294234,2.7509719306678075,2.1632516675501043,2.210947989141153,2.2241617970334233,0.7943661586997375,1.1347042977587956,1.6376817906826056,0.0,0.6106466201029768,10.496262629924075
4.360836840038214,2.031878578730901,1.0196701346266395,4.080259294313498,0.637326266472366,3.499013244991681,1.7939880496559517,1.2131534260818277,1.0,0.7434293036121762,11.622178922933939
