A,B,C,D,E,F,G,H,P_A_most_likely,P_A_Noise,Label,Residual
2.3367615234666577,1.3970410853668116,2.2075235593547635,0.5059755932622594,0.5740671287067123,2.04557749832678,1.1168926696352892,4.152754039962101,1.0,0.648738993092654,8.686582617554297,1.3991392812094443
5.619971137057644,3.5621798473007664,3.5661090420680486,4.866362275330145,4.957447435398353,5.35573540962037,4.449007865581544,4.4691067828165005,0.0,0.6000872837362311,17.004827827300865,0.19025666167168054
9.411330573985522,8.83375966760801,8.116829272668468,7.685872923328773,7.213912036179514,5.9890429665628,9.066785575283193,7.196696739962768,2.0,0.7805459455996071,33.19507885966274,-0.736105339646471
1.737010132893414,1.4589068889100552,2.0060042307457997,2.2288740108157716,2.3541119232788126,2.6149192004379676,2.042498449016124,2.405195776268826,1.0,0.771970391772072,8.415933650564606,-1.6859941931910973
2.242925248040369,2.1157265760112534,2.009328567829963,4.83992619374782,1.7719637827083838,2.5640902878539524,2.4921447295485204,-0.02903953625675859,1.0,0.6776454749184887,8.933392147955704,0.5184118352814401
8.382603612346173,7.977736770182415,7.766580989689214,9.039440408673029,9.050426559220833,6.9472431832475685,8.048227200344586,8.107733124019598,2.0,0.6627410372549638,32.623869093598834,1.8782096914888116
5.717757779122094,4.324668988891275,4.278112828347804,5.604848694584233,3.904313453101486,4.059069924619375,5.1558396945265805,4.789250488408536,0.0,0.6191834329884526,20.58617556286135,0.3096413639393621
7.500419093041671,7.925854886582861,9.131146632653339,8.696964646268757,9.733787501023413,7.741499936841423,10.028793963796325,8.33847778625024,2.0,0.7918071859074307,35.04334717239536,0.5722946363325013
8.629124147971721,7.9958085248293616,7.543897697182881,9.050205822600793,7.410064546710479,8.695708073341216,7.387425464512663,7.798794840109441,2.0,0.6162046130871631,32.31739237100752,0.5187739305969817
4.446562533052955,6.463757595356143,3.6046728528562832,4.185502848569577,5.348678170603531,5.3967478302857295,6.818406510042737,5.164411359160953,0.0,0.6971573883100635,21.78329300469233,0.19364635643449965
5.0369668193184065,6.72229356927654,4.285164300756209,5.332661270435917,4.371355063038912,5.561751523702114,5.627156820661103,6.138843738008358,0.0,0.7483247021259406,21.06014578811126,-0.21498650403329747
6.718147901330134,5.904528244462229,7.667466850863321,9.23152864502486,8.710963642039882,8.40064289621698,6.770208633791193,9.809351803284795,2.0,0.6952535692710969,29.394613056193805,-1.3283443941997866
4.976838735946576,4.626996776031226,4.0666543962657915,3.577729264115222,3.5736109288516866,5.538192447929957,5.940624105024081,2.7938120855214335,0.0,0.6499345082439264,19.621632630420038,1.8381895235544599
5.26019420050101,6.115098191546481,4.608351087913958,5.825083132147823,3.0872810910569823,5.603476371722594,5.548558604399598,4.58563577986599,0.0,0.6133667866404997,21.209783320077868,1.9774102809902503
5.363805839386184,5.397751718382348,6.912596200671977,6.579264552468828,4.332700148330186,4.940473930074761,5.443550856808273,7.522125017358229,0.0,0.7992038910510297,23.597456773878495,-0.624202770263154
6.957263396122764,8.766833696371027,6.886460728946647,8.121507997084013,7.767108101024558,6.80398899065276,7.853580037174445,9.419743861079889,2.0,0.6628384805822277,31.754716169858625,1.1539961973067394
6.649348949501305,7.05057209716259,8.070527505515052,7.475101414521404,7.641408717486337,8.022634403591864,6.93960428576262,9.95900428163973,2.0,0.6683232532310001,28.809902272706555,0.9580853145498041
10.48183401107272,8.28093736404263,7.359785012629742,7.326840582372148,7.387547063528323,8.343395853214137,6.6708397312676,8.412072581979693,2.0,0.7027189934807875,31.53294081268556,0.8739744550232835
7.018764602841795,4.540003558339801,5.319381335216194,4.424107224849937,5.027361660934482,4.171631253699913,5.178134167184365,7.071134507118442,0.0,0.657271573062335,21.655731767504857,-1.8468704612282252
2.0598938818797605,1.2944849775582905,1.325120994461591,2.95690975273835,2.4510012116718727,2.1551553164514834,1.9505622664307933,1.1234264570608268,1.0,0.7297033841623805,5.809249487709912,-0.4482070407996274
4.679020595437825,3.607092261415316,2.4698780451555558,3.593529453836573,6.097919612671532,5.818848260471399,4.0593781292793665,5.788717143156603,0.0,0.6103353389049144,15.035459399319897,0.8264756911462058
2.4217581637437036,1.5251900904887314,1.605155171660178,2.6738046438562852,1.0907995013474197,1.1460199132508628,2.056724463295332,2.2789610420625115,1.0,0.6088278560158723,9.088162196953267,0.5353899373392056
7.207253247829044,9.646640007540158,9.020059994294215,8.377022345124956,10.287159232961681,8.05191494371381,10.067950162160653,7.801673643853279,2.0,0.627109336819245,36.93653667668403,-0.7738676444469467
8.212014554638188,8.407490301409675,8.60333841735449,6.814452338449309,9.812893276730613,9.928395821261855,8.637327837364515,9.107030615830606,2.0,0.7443908528917779,33.53373726516673,0.7082310833568024
8.909912514857263,6.910319134438412,7.957385458602303,7.266214424691967,7.356236604463515,10.474447390137943,6.710774031317041,7.744628720469855,2.0,0.6882065356538052,31.477773313263114,0.5559993833374518
4.143079593818959,6.489439781544578,5.227003596245533,5.559916346839831,3.5800627154263056,5.6530143684044365,4.207649015433661,3.656089445031363,0.0,0.6722294428561844,19.64372811903343,0.5586785066996132
7.9202665825609015,7.889815117456543,7.852530238080508,7.706296842878348,8.979014626809988,8.064249689738082,8.25815069864582,7.990942247681496,2.0,0.6251382215155715,31.16230956957457,2.420285631855641
4.473126810414566,4.885347508331863,5.347289766805079,4.044115621674644,4.241678071198108,4.669611046653421,5.881287405389944,7.1579072310949865,0.0,0.7370276724919969,19.66013704677623,0.2966609451928876
1.3292791656505372,2.367829260870213,1.8357936437014408,2.278948332344826,1.8126356596096957,2.1214490741902567,2.849890694246347,2.960181056803642,1.0,0.7329552663211862,8.036105264695202,-1.4885282709002952
0.4553481669974684,2.425523332599723,2.2057475456700866,3.970960097040412,0.3834793289465255,0.2810388770671217,0.4982257230388918,3.402505255117543,1.0,0.6388092051202141,5.933671695286553,1.4282366932113435
3.839835991378445,5.255409900174308,3.7315165625620006,4.690889257351655,5.146610007889782,6.698634015190929,3.899191418657994,5.9015501179471626,0.0,0.7155677944837037,17.74658259242138,-1.5077823594544886
2.9901899495223714,5.2456449704727515,7.0781590425680045,5.135090786642886,5.694926701720984,5.722375847255817,4.207095829536715,5.528673373316252,0.0,0.7641619386593774,19.523694812547685,-2.758943833208992
7.247131938411924,7.573112152896247,9.601810578434463,7.254427936801436,6.8024968300978585,7.106593839505558,8.104089367057762,8.579734170228578,2.0,0.6800925274609206,31.415329360010254,-1.2729510403652857
