A,B,C,D,E,F,G,H,P_A_most_likely,Label,P_A_noise
0.9855230279967879,0.6947460780046464,0.11306627727027829,0.7214845132950509,0.16218913082811404,0.6416866042677648,0.9960545988415024,0.7287629361862771,7.0,5.022081444615745,0.44229730007380097
0.3652590386251088,0.7088888293148571,0.2298719837536073,0.5527314251071446,0.3557165618505699,0.43692145909132374,0.46419825620710875,0.019353256416225983,1.0,2.05449501215255,0.5391613072903523
0.6917176303692444,0.5250010290529679,0.6276548710375809,0.3107748399037489,0.7718401935184763,0.3305642699848216,0.7761190707925791,0.9071525907015275,8.0,5.818109046799634,0.43715866886869154
0.4875033684651989,0.21703640821729864,0.9823065521197862,0.5143547224978346,0.22110955891750417,0.04031452569211569,0.9387973958056193,0.5001618422676662,1.0,2.166218126348416,0.5495959465192479
0.1273157232510338,0.5418418576924903,0.12187878315389467,0.11033632845740937,0.2355036466698167,0.15144467482459523,0.8127284297533821,0.8250938589120165,6.0,4.243051323204599,0.5044867146048608
0.9751266726348342,0.24864461424960405,0.6530131474976307,0.4373286163982655,0.8036401792017525,0.6661361667379527,0.9366120689394465,0.8049542907166376,1.0,4.271320850487459,0.40035705501624463
0.8155540154277777,0.40539727514466584,0.5810845183832113,0.04717551478205029,0.5528228291121825,0.4476751263100157,0.7273787807715754,0.21209021593310295,8.0,5.015155205086943,0.47404647993621674
0.4462770078893751,0.9447956001218105,0.4107327858584018,0.1424319182994237,0.24172140352732852,0.3022785800527561,0.44638570509208697,0.2816821823174127,1.0,0.7287684180225216,0.4755930723580125
0.840013676409717,0.486658563351958,0.682991131363826,0.18578998499617372,0.2014863348117223,0.6025708587838698,0.2299174625149274,0.39046592176581285,2.0,4.436134167126289,0.5670552251506407
0.4524973289269285,0.32702672888711004,0.28997944717829205,0.952330952453947,0.35321170101855515,0.6043303059764811,0.7755050903680673,0.2792695562261074,1.0,1.8204253338372827,0.406611625305914
0.08853912230203564,0.17531302392784787,0.033109526326856265,0.7517706994990303,0.3632829633208309,0.42944490401197866,0.6241022468450192,0.930756018655055,1.0,2.2400391798016615,0.4223021552044194
0.6779615279790031,0.11185747669546864,0.37060674811785776,0.36224578197255153,0.01181278338313041,0.438158547254224,0.4434965277587023,0.2793815101579432,1.0,0.19179518430130793,0.49992591801746367
0.3598390741607529,0.33470449045877015,0.674455725476556,0.7680665486390302,0.39005935933698754,0.6680746603904352,0.5024866170955301,0.6469562712967896,8.0,5.209209229519677,0.45015621775498355
0.11789086888541178,0.22750756468937272,0.3775300164193297,0.45464566074636337,0.8876488123001156,0.9838681291510094,0.85916041034898,0.1755947533950063,5.0,1.7786511650350425,0.4076703504829182
0.5339781171834074,0.6170877729942799,0.5866898636943161,0.33774375537897106,0.7152656605710362,0.5103057606364652,0.6802303084084624,0.6105944378505718,1.0,3.4924566890346505,0.5081745972198795
0.07701655673429442,0.8561643071789574,0.2256773519442844,0.3357612740127396,0.03354161510772835,0.39059479235742134,0.7335092028308755,0.6078759667171036,1.0,0.7159062322221805,0.4361145804600562
